1653280,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1653280,2925,11 SEP 2020 12:24PM by PIB Imphal,NA,"কেন্দ্রগী হলশেল মন্ত্রীনা রাজ্যশিংগী মরক্তা মেদিকেল ওক্সিজেন পুথোক-পুশিন তৌবদা অথিংবা অমত্তা থমদনবা রাজ্যশিং/য়ু.তি.শিংদা খঙহনখ্রে
হোস্পিতালদা লায়েং চত্থরিবা কোবিদ নাবা মীওই খুদিংমক্তা ওক্সিজেন ফংহনবা হায়বা অসি রাজ্যশিং/য়ু.তি.শিংগী থৌদাং ওইহনখ্রে"
1653281,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1653281,9762,11 SEP 2020 1:59PM by PIB Delhi,en,"Vice President calls for the revival of a sporting culture in the country
Exceptional sports persons can become excellent leaders too: VPCalls for effective talent monitoring systems to identify young sporting talentThere is an imminent need to upgrade sporting infrastructure, especially in rural areas: VPWe must build a large pool of home grown, highly skilled Indian coaches: VPUrges more academic institutions to offer courses in sports managementWe have no dearth of talent in this country; we need stronger support systems: VPCongratulates Panjab University for winning the Maulana Abul Kalam Azad trophy for the year 2020"
1653282,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1653282,39144,11 SEP 2020 1:50AM by PIB Mumbai,mr,"कोविड सद्यस्थिती
दररोज बरे होणारे देशातील 60 टक्के रुग्ण 5 राज्यातूनआतापर्यंत सुमारे 35.5 लाख रुग्ण बरे झाले"
1653283,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1653283,2625,11 SEP 2020 2:09PM by PIB Delhi,en,"Secretary RTH addresses investors meet on InvIT; assure them of careful selection of its assest base to yield attractive returns
MoRTH plans to construct over 50,000 KMs of Highways, a majority being 4 and 6 lanes wide"
1653284,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1653284,5722,11 SEP 2020 2:09PM by PIB Delhi,en,"Ahead of the Parliament’s monsoon session, Chairman, Rajya Sabha Shri Venkaiah Naidu undergoes COVID-19 test
All MPs to get their COVID test done within 72 hours before the commencement of the SessionCOVID negative report is a must for every Member to take part in the proceedings of the HouseTesting also mandatory for officials and staff of the ParliamentVarious parliamentary papers to be sent to members in electronic modeDRDO to supply multi-utility kits to all MPs"
1653285,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1653285,2247,11 SEP 2020 12:54PM by PIB Hyderabad,te,"కోవిడ్-19 మహమ్మారి వల్ల ఎదురయ్యే సాధారణ సమస్యలకు కలిసికట్టుగా పరిష్కారాలు సాధిద్దాం : జి-20 దేశాల కార్మిక, ఉపాధి శాఖ మంత్రుల సమావేశంలో శ్రీ గంగ్వార్ ప్రసంగం"
1653286,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1653286,7253,10 SEP 2020 6:30PM by PIB Delhi,ur,"وزارت تعلیم کے ذریعہ   شکشاپرَو۔ 2020 کے تحت ‘‘اکیسویں صدی میں اسکولی تعلیم ’’ کے موضوع پر ایک دوروزہ  کنکلیو  کاورچوءل  انعقاد
وزیراعظم جناب نریندرمودی ویڈیوکانفرنس کے ذریعہ کنکلیوسے  کل خطاب کریں گے"
1653287,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1653287,46658,11 SEP 2020 11:50AM by PIB Delhi,ur,"کووڈ-19 پر اپڈیٹ
بھارت میں روزانہ 60 فیصد لوگ 5 ریاستوں میں صحتیاب ہو رہے ہیںصحتیاب ہونے والوں کی کل تعداد ہوئی 35 اعشاریہ پانچ لاکھ"
1653288,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1653288,2761,10 SEP 2020 6:53PM by PIB Delhi,ur,"حکومت کوالٹی کے بارے میں سمجھوتہ کئے بغیرسڑک تعمیر کی لاگت کم کرنے پر توجہ مرکوز کررہی ہے: نتن گڈکری
ٹرانسپورٹ کے مرکزی وزیر نے صنعت سے کہا کہ وہ فوری طورپر سرکاری امداد کے لئے ایک 10سالہ نقص کی ذمہ داری کی مدت کا خاکہ تیار کریں اور بہترین بین الاقوامی ٹکنالوجی استعمال کریں"
1653289,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1653289,2786,11 SEP 2020 12:24PM by PIB Hyderabad,te,"రాష్ట్రాల మధ్య వైద్య ఆక్సిజెన్ రవాణాకు  ఆంక్షలు వద్దు: కేంద్ర ఆరోగ్య మంత్రిత్వశాఖ
ఆస్పత్రిలోని ప్రతి కోవిడ్ బాధితుడికీ ఆక్సిజెన్ అందే బాధ్యత రాష్ట్రాలదే"
1653290,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1653290,1515,11 SEP 2020 1:27PM by PIB Imphal,NA,"এন.এফ.এল.না য়ুরিয়া তোন লাখ ১৬.১১ পুথোত্তুনা ২০২০-২০২১গী  এপ্রিল অমসুং ওগস্ততা ১৩% হেনগৎতুনা রেকোর্দ থমখ্রে
হার য়োনবা অমসুং পুথোকপদা হেনগৎপগী পাউদম লৈরি"
1653291,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1653291,51768,11 SEP 2020 11:50AM by PIB Kolkata,NA,"কোভিড-১৯ সংক্রান্ত সর্বশেষ তথ্য
ভারতে দৈনিক আরোগ্য লাভের ৬০ শতাংশই পাঁচটি রাজ্য থেকেমোট সুস্থতার সংখ্যা প্রায় ৩৫.৫ লক্ষ"
1653292,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1653292,2402,11 SEP 2020 12:24PM by PIB Kolkata,NA,কেন্দ্রীয় স্বাস্থ্য মন্ত্রক রাজ্য / কেন্দ্রশাসিত অঞ্চলগুলিকে রাজ্যগুলির মধ্যে মেডিকেল অক্সিজেনের সরবরাহে কোনরকম বাধা-বিপত্তি তৈরি না করার জন্য আহ্বান জানিয়েছে
1653293,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1653293,5357,11 SEP 2020 2:40PM by PIB Delhi,en,"Hardeep S Puri launches Climate Smart Cities Assessment Framework (CSCAF 2.0) and Streets for People Challenge
CSCAF to provide Roadmap for cities towards Combating Climate Change while planning / implementing their actions including investmentsCSCAF initiative intends to inculcate Climate-Sensitive Approach to Urban Planning and DevelopmentFramework with 28 indicators across five categories developed after review of Global Frameworks/ Assessment ApproachesStreets for people challenge to support cities to develop unified vision of streets in consultation with stakeholders​Aims to inspire cities to create walking-friendly/ vibrant streets through quick, innovative/ low-cost measuresAll participating cities to be encouraged to use ‘test-learn-scale’ approach to initiate both, flagship and neighbourhood walking interventions"
1653294,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1653294,2817,11 SEP 2020 12:54PM by PIB Kolkata,NA,কোভিড-১৯ মহামারীর জেরে উদ্ভূত  সাধারণ সমস্যা সমাধানের জন্য সকলকে একসঙ্গে কাজ চালিয়ে যেতে হবে : জি-২০ শ্রম ও কর্মসংস্থান মন্ত্রীদের বৈঠকে জানালেন শ্রী গাঙ্গোয়ার
1653295,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1653295,1800,11 SEP 2020 2:55PM by PIB Mumbai,en,45th Regional Level Dak Adalat on 28.09.2020 at 11:00 - Goa
1653296,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1653296,1443,11 SEP 2020 1:27PM by PIB Hyderabad,te,ఈ ఆర్థిక ఏడాది తొలి ఐదు నెలల్లో 13 శాతం వృద్ధితో 16.11 లక్షల మెట్రిక్‌ టన్నుల యూరియా ఉత్పత్తి చేసిన ఎన్‌ఎఫ్‌ఎల్‌
1653297,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1653297,1605,11 SEP 2020 1:27PM by PIB Delhi,hi,"अप्रैल-अगस्त 2020-2021 में एनएफएल ने 13 प्रतिशत वृद्धि के साथ 16.11 लाख मिट्रिक टन यूरिया का रिकार्ड उत्पादन किया
इस अवधि में कंपनी ने उर्वरकों की बिक्री और उत्पादन दोनों में बढ़ोतरी दर्ज की"
1653298,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1653298,2714,11 SEP 2020 1:21PM by PIB Imphal,NA,ঙাকশেল মন্ত্রীনা এরো ইন্দিয়া ২১গী ৱেবসাইৎ লোঞ্চ তৌখ্রে; এসিয়াগী খ্বাইদগী চাউবা এরোশোগী মফম বুকিং তৌবা হৌরে
